step 17217 | loss: 3.084154 | lr: 0.000146 | norm: 0.1997 | time: 1138.51ms | tok/sec: 460505.38
step 17218 | loss: 3.171074 | lr: 0.000146 | norm: 0.2482 | time: 1138.77ms | tok/sec: 460400.48
step 17219 | loss: 3.116336 | lr: 0.000146 | norm: 0.2138 | time: 1139.54ms | tok/sec: 460087.52
step 17220 | loss: 3.112337 | lr: 0.000145 | norm: 0.1981 | time: 1139.01ms | tok/sec: 460300.16
step 17221 | loss: 3.026659 | lr: 0.000145 | norm: 0.2100 | time: 1139.64ms | tok/sec: 460045.07
step 17222 | loss: 3.028112 | lr: 0.000145 | norm: 0.2113 | time: 1141.38ms | tok/sec: 459345.68
step 17223 | loss: 3.029400 | lr: 0.000145 | norm: 0.2193 | time: 1140.79ms | tok/sec: 459583.18
step 17224 | loss: 3.055099 | lr: 0.000145 | norm: 0.2131 | time: 1139.56ms | tok/sec: 460080.20
step 17225 | loss: 3.051512 | lr: 0.000145 | norm: 0.2025 | time: 1138.38ms | tok/sec: 460557.46
step 17226 | loss: 3.046939 | lr: 0.000145 | norm: 0.2029 | time: 1142.06ms | tok/sec: 459073.34
step 17227 | loss: 3.091922 | lr: 0.000145 | norm: 0.2139 | time: 1141.74ms | tok/sec: 459199.78
step 17228 | loss: 3.070986 | lr: 0.000145 | norm: 0.1972 | time: 1141.11ms | tok/sec: 459455.57
step 17229 | loss: 3.097629 | lr: 0.000145 | norm: 0.2060 | time: 1137.89ms | tok/sec: 460754.13
step 17230 | loss: 3.019376 | lr: 0.000145 | norm: 0.2012 | time: 1138.12ms | tok/sec: 460662.05
step 17231 | loss: 3.030006 | lr: 0.000145 | norm: 0.1998 | time: 1139.73ms | tok/sec: 460009.56
step 17232 | loss: 3.100962 | lr: 0.000145 | norm: 0.1964 | time: 1140.38ms | tok/sec: 459749.41
step 17233 | loss: 3.017597 | lr: 0.000145 | norm: 0.2116 | time: 1139.01ms | tok/sec: 460299.77
step 17234 | loss: 3.086097 | lr: 0.000145 | norm: 0.2001 | time: 1138.68ms | tok/sec: 460433.16
step 17235 | loss: 3.051141 | lr: 0.000145 | norm: 0.1989 | time: 1140.46ms | tok/sec: 459714.90
step 17236 | loss: 3.048715 | lr: 0.000145 | norm: 0.2103 | time: 1140.54ms | tok/sec: 459685.11
step 17237 | loss: 3.075897 | lr: 0.000145 | norm: 0.1856 | time: 1142.06ms | tok/sec: 459073.24
step 17238 | loss: 3.082717 | lr: 0.000145 | norm: 0.2088 | time: 1140.82ms | tok/sec: 459570.50
step 17239 | loss: 3.060846 | lr: 0.000145 | norm: 0.2014 | time: 1138.15ms | tok/sec: 460647.38
step 17240 | loss: 3.026720 | lr: 0.000145 | norm: 0.1958 | time: 1138.85ms | tok/sec: 460365.69
step 17241 | loss: 3.015902 | lr: 0.000145 | norm: 0.2106 | time: 1140.60ms | tok/sec: 459658.02
step 17242 | loss: 2.977757 | lr: 0.000145 | norm: 0.1983 | time: 1141.80ms | tok/sec: 459177.82
step 17243 | loss: 2.984049 | lr: 0.000145 | norm: 0.2090 | time: 1138.67ms | tok/sec: 460439.81
step 17244 | loss: 3.099629 | lr: 0.000145 | norm: 0.2192 | time: 1137.73ms | tok/sec: 460817.85
step 17245 | loss: 3.000923 | lr: 0.000145 | norm: 0.2305 | time: 1137.64ms | tok/sec: 460854.07
step 17246 | loss: 3.037147 | lr: 0.000145 | norm: 0.2069 | time: 1140.08ms | tok/sec: 459867.47
step 17247 | loss: 3.012090 | lr: 0.000145 | norm: 0.2226 | time: 1139.54ms | tok/sec: 460089.15
step 17248 | loss: 2.945084 | lr: 0.000145 | norm: 0.2244 | time: 1139.77ms | tok/sec: 459993.30
step 17249 | loss: 2.996065 | lr: 0.000145 | norm: 0.2029 | time: 1137.26ms | tok/sec: 461011.07
step 17250 | loss: 3.066316 | lr: 0.000145 | norm: 0.2157 | time: 1139.34ms | tok/sec: 460170.12
step 17251 | loss: 2.988243 | lr: 0.000145 | norm: 0.1974 | time: 1140.59ms | tok/sec: 459664.36
step 17252 | loss: 3.058530 | lr: 0.000145 | norm: 0.2230 | time: 1140.08ms | tok/sec: 459871.13
step 17253 | loss: 3.102356 | lr: 0.000145 | norm: 0.2212 | time: 1138.13ms | tok/sec: 460658.38
step 17254 | loss: 2.987144 | lr: 0.000145 | norm: 0.2317 | time: 1141.50ms | tok/sec: 459298.57
step 17255 | loss: 3.044744 | lr: 0.000145 | norm: 0.2154 | time: 1137.24ms | tok/sec: 461018.32
step 17256 | loss: 3.040606 | lr: 0.000145 | norm: 0.2187 | time: 1139.91ms | tok/sec: 459938.75
step 17257 | loss: 3.133297 | lr: 0.000144 | norm: 0.2338 | time: 1139.36ms | tok/sec: 460161.94
step 17258 | loss: 3.138846 | lr: 0.000144 | norm: 0.2455 | time: 1140.61ms | tok/sec: 459656.48
step 17259 | loss: 3.054000 | lr: 0.000144 | norm: 0.2480 | time: 1140.14ms | tok/sec: 459843.91
step 17260 | loss: 3.090176 | lr: 0.000144 | norm: 0.2263 | time: 1139.13ms | tok/sec: 460253.72
step 17261 | loss: 3.109419 | lr: 0.000144 | norm: 0.2458 | time: 1143.70ms | tok/sec: 458414.83
step 17262 | loss: 3.098533 | lr: 0.000144 | norm: 0.2323 | time: 1142.23ms | tok/sec: 459003.48
step 17263 | loss: 3.149592 | lr: 0.000144 | norm: 0.2232 | time: 1142.24ms | tok/sec: 459000.70
step 17264 | loss: 3.072868 | lr: 0.000144 | norm: 0.2229 | time: 1140.28ms | tok/sec: 459789.78
step 17265 | loss: 3.072723 | lr: 0.000144 | norm: 0.2102 | time: 1138.37ms | tok/sec: 460560.36
step 17266 | loss: 3.063630 | lr: 0.000144 | norm: 0.2022 | time: 1137.65ms | tok/sec: 460852.52
step 17267 | loss: 3.025604 | lr: 0.000144 | norm: 0.2133 | time: 1139.46ms | tok/sec: 460120.92
step 17268 | loss: 3.076791 | lr: 0.000144 | norm: 0.2097 | time: 1132.30ms | tok/sec: 463027.91
step 17269 | loss: 3.070971 | lr: 0.000144 | norm: 0.1999 | time: 1139.85ms | tok/sec: 459964.24
step 17270 | loss: 3.045346 | lr: 0.000144 | norm: 0.2042 | time: 1138.55ms | tok/sec: 460488.02
step 17271 | loss: 3.035231 | lr: 0.000144 | norm: 0.1991 | time: 1138.51ms | tok/sec: 460505.28
step 17272 | loss: 3.074058 | lr: 0.000144 | norm: 0.2014 | time: 1138.42ms | tok/sec: 460541.45
step 17273 | loss: 3.106590 | lr: 0.000144 | norm: 0.1912 | time: 1137.74ms | tok/sec: 460816.69
step 17274 | loss: 3.036102 | lr: 0.000144 | norm: 0.1991 | time: 1139.66ms | tok/sec: 460039.97
step 17275 | loss: 3.070115 | lr: 0.000144 | norm: 0.2072 | time: 1140.30ms | tok/sec: 459780.46
step 17276 | loss: 3.005449 | lr: 0.000144 | norm: 0.2034 | time: 1143.80ms | tok/sec: 458374.69
step 17277 | loss: 2.998410 | lr: 0.000144 | norm: 0.1947 | time: 1138.95ms | tok/sec: 460326.75
step 17278 | loss: 2.987506 | lr: 0.000144 | norm: 0.1997 | time: 1139.20ms | tok/sec: 460223.38
step 17279 | loss: 3.000253 | lr: 0.000144 | norm: 0.1976 | time: 1138.87ms | tok/sec: 460359.04
step 17280 | loss: 3.049243 | lr: 0.000144 | norm: 0.2058 | time: 1139.29ms | tok/sec: 460186.40
step 17281 | loss: 3.055141 | lr: 0.000144 | norm: 0.1997 | time: 1138.26ms | tok/sec: 460602.80
step 17282 | loss: 3.035709 | lr: 0.000144 | norm: 0.2058 | time: 1139.08ms | tok/sec: 460272.51
step 17283 | loss: 3.028829 | lr: 0.000144 | norm: 0.1982 | time: 1137.91ms | tok/sec: 460748.14
step 17284 | loss: 2.967468 | lr: 0.000144 | norm: 0.2099 | time: 1141.55ms | tok/sec: 459275.74
step 17285 | loss: 3.046618 | lr: 0.000144 | norm: 0.1971 | time: 1139.13ms | tok/sec: 460253.72
step 17286 | loss: 3.017791 | lr: 0.000144 | norm: 0.2127 | time: 1137.94ms | tok/sec: 460734.63
